"cluster","lat","long","X","Y","meanwg.sar","num.sar","sigmawg.sar","sigmaindiv.sar","meanwg.anch","num.anch","sigmawg.anch","sigmaindiv.anch","meanwg.mack","num.mack","sigmawg.mack","sigmaindiv.mack","meanwg.jack","num.jack","sigmawg.jack","sigmaindiv.jack","meanwg.her","num.her","sigmawg.her","sigmaindiv.her","CPS.num","CPS.wg","weighted.num","weighted.wg","prop.sar","prop.sar.wg","prop.anch","prop.anch.wg","prop.mack","prop.mack.wg","prop.jack","prop.jack.wg","prop.her","prop.her.wg","sample.type","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49","L50","L51","L52","L53","L54","L55","L56","L57","L58","L59","L60","L(all)","species"
72,46.3150083333333,-124.11175,-320567.106750212,925712.946139824,0,0,1,1,0.0367533629955845,50,0.00126141323046001,4.63631707170401e-05,0,0,1,1,0,0,1,1,0,0,1,1,50,1872,0.002318158535852,0.00231805891732648,0,0,1,1,0,0,0,0,0,0,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
73,46.0476816666667,-123.969433333333,-310707.052068448,895905.987739348,0.0361558786462131,101,0.000717305932096474,2.59348243355999e-05,0,0,1,1,0,0,1,1,0,0,1,1,0.0423713232362932,50,0.00222090954045607,9.41028691323127e-05,151,5872,0.00732456071451122,0.00732456125040356,0.357621072442757,0.357621072442757,0,0,0,0,0,0,0.642378927557244,0.642378927557243,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
74,45.7107733333333,-123.953063333333,-310970.212293507,858848.656145478,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0400458056808509,36,0.00229139541322378,9.17607687423905e-05,36,1338,0.00330338767472606,0.00330338791641429,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
75,45.6693466666667,-123.98184,-313423.933290395,854390.864034957,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0449713458921053,2,0.00219751525413103,9.8825211366281e-05,2,78,0.000197650422732562,0.000197650437193408,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
76,45.3973316666667,-123.992683333333,-315537.122554187,824520.805558247,0.048158685711872,1,0.000628914719381599,3.02877040943066e-05,0,0,1,1,0,0,1,1,0,0,1,1,0.0416764496274232,50,0.00225306128308646,9.38995882020045e-05,51,1947,0.00472526711419453,0.00472526745991279,0.006409733748876,0.006409733748876,0,0,0,0,0,0,0.993590266251124,0.993590266251124,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
77,45.1499416666667,-124.0014,-317375.00841049,797331.694418569,0.0324898843233571,45,0.000752946017769527,2.44631272292501e-05,0,0,1,1,0,0,1,1,0,0,1,1,0.0377570195577972,50,0.00234048950919671,8.83699017080862e-05,95,3228,0.00551933581072056,0.00551933621453587,0.19945166648096,0.19945166648096,0,0,0,0,0,0,0.80054833351904,0.80054833351904,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
78,44.89554,-124.059978333333,-323218.486825502,769521.650761303,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0449940864604985,50,0.00218774605707,9.84356280435025e-05,50,2115,0.00492178140217513,0.00492178176227111,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
79,44.39437,-124.134546666667,-331561.087582087,714552.739121279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
80,44.0896483333333,-124.162951666667,-335314.232273794,681042.558587015,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0450999825675975,50,0.00218254155943074,9.84325790816868e-05,50,2012,0.00492162895408434,0.00492162931416917,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
81,43.9859783333333,-124.230626666667,-341272.472445918,669844.494653287,0,0,1,1,0,0,1,1,0,0,1,1,1.13408689316321,15,0.000382101643864059,0.000433336441785927,0,0,1,1,15,17383,0.00650004662678891,0.00650004699243517,0,0,0,0,0,0,1,1,0,0,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.2,0.333333333333333,0.333333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,"Trachurus symmetricus"
82,43.8919533333333,-124.226401666667,-341394.790503772,659451.95305863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
83,43.743415,-124.2907,-347327.682361774,643287.652247431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
84,43.5930216666667,-124.242835,-344199.388839198,626505.383409349,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0420123572968307,48,0.00223434184319878,9.38699609718481e-05,48,1816,0.00450575812664871,0.00450575845630687,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
85,43.39083,-124.368443333333,-355412.063732366,604633.623077258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
86,43.1688633333333,-124.426181666667,-361252.150128899,580323.245470937,0,0,1,1,0,0,1,1,0,0,1,1,1.25059736318697,4,0.000362229419960971,0.000453003131989211,0,0,1,1,4,5201,0.00181201252795684,0.00181201262988775,0,0,0,0,0,0,1,1,0,0,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,1,"Trachurus symmetricus"
87,42.9931666666667,-124.632011666667,-378987.894176241,561705.398408849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
88,42.0002333333333,-124.256766666667,-353243.924500596,450386.258676766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
89,42.05695,-124.426333333333,-367011.807235418,457310.96387302,0,0,1,1,0,0,1,1,0,0,1,1,1.14691774826181,25,0.000379552691660414,0.000435315693978115,0,0,1,1,25,29975,0.0108828923494529,0.0108828929616468,0,0,0,0,0,0,1,1,0,0,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.24,0.4,0.2,0.08,0,0,0,0,0.04,0,0,0,0,0,0,1,"Trachurus symmetricus"
90,44.7244883333333,-124.425946666667,-353213.333929694,751987.053278302,0.194216625545287,1,0.000328351620015551,6.37713389659981e-05,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,214,6.37713389659981e-05,6.37713436317486e-05,1,1,0,0,0,0,0,0,0,0,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
91,46.8043633333333,-124.172578333333,-322944.783096959,979547.213316476,0,0,1,1,0.0407812362218575,2,0.00121173906480788,4.94183407019067e-05,0,0,1,1,0,0,1,1,0.0429781882661256,50,0.00223038247054559,9.5857790711259e-05,52,2148,0.00489172621696677,0.00489172232031109,0,0,0.0202048677746931,0.0202040156024392,0,0,0,0,0.979795132225307,0.979795984397561,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
